
========================================
[2026-06-14 22:42:34]
Target: Service: PermissionManagerServiceInternal
Method: getLegacyPermissions
Args: none
Result:
Collection [2837 elements]:
  [36] LegacyPermission{mGids=[0 items], mPermissionInfo=PermissionInfo{cbb9764 com.samsung.android.permission.LAUNCH_ULTRAPOWERSAVING_SERVICE}, mType=0, mUid=1000}
  [37] LegacyPermission{mGids=[0 items], mPermissionInfo=PermissionInfo{b275682 com.samsung.android.calendar.permission.WRITE_STICKERS}, mType=0, mUid=10214}
  [38] LegacyPermission{mGids=[0 items], mPermissionInfo=PermissionInfo{34cc5d0 com.google.android.gms.trustagent.framework.model.DATA_CHANGE_NOTIFICATION}, mType=0, mUid=10243}
  [39] LegacyPermission{mGids=[0 items], mPermissionInfo=PermissionInfo{af858ce com.samsung.android.carrier.permission.UPDATE_CARRIER}, mType=0, mUid=1001}
  [40] LegacyPermission{mGids=[0 items], mPermissionInfo=PermissionInfo{7806efc android.permission.PROVIDE_REMOTE_CREDENTIALS}, mType=0, mUid=1000}
  [41] LegacyPermission{mGids=[0 items], mPermissionInfo=PermissionInfo{dc533da android.permission.MANAGE_DEVICE_POLICY_PRIVATE_DNS}, mType=0, mUid=1000}
  [42] LegacyPermission{mGids=[0 items], mPermissionInfo=PermissionInfo{ee37ee8 com.samsung.android.knox.permission.KNOX_KPU_INTERNAL}, mType=0, mUid=1000}
  [43] LegacyPermission{mGids=[0 items], mPermissionInfo=PermissionInfo{852b3a6 android.permission.WRITE_SETTINGS}, mType=0, mUid=1000}
  [44] LegacyPermission{mGids=[0 items], mPermissionInfo=PermissionInfo{8e5a194 com.google.android.gm.permission.WRITE_GMAIL}, mType=0, mUid=10262}
  [45] LegacyPermission{mGids=[0 items], mPermissionInfo=PermissionInfo{4e66432 com.sec.android.fota.permission.PUSH}, mType=0, mUid=1000}
  [46] LegacyPermission{mGids=[0 items], mPermissionInfo=PermissionInfo{a454300 com.google.android.vending.verifier.ACCESS_VERIFIER}, mType=0, mUid=10245}
  [47] LegacyPermission{mGids=[0 items], mPermissionInfo=PermissionInfo{a92917e com.sec.android.app.samsungapps.accesspermission.BILLING_ACTIVITY}, mType=0, mUid=10079}
  [48] LegacyPermission{mGids=[0 items], mPermissionInfo=PermissionInfo{33b8f2c com.samsung.android.knox.permission.KNOX_ROAMING}, mType=0, mUid=1000}
  [49] LegacyPermission{mGids=[0 items], mPermissionInfo=PermissionInfo{d42478a com.android.permission.INSTALL_EXISTING_PACKAGES}, mType=0, mUid=1000}
  [50] LegacyPermission{mGids=[0 items], mPermissionInfo=PermissionInfo{c687218 android.permission.MANAGE_TEST_NETWORKS}, mType=0, mUid=1000}
  [51] LegacyPermission{mGids=[0 items], mPermissionInfo=PermissionInfo{2855256 com.samsung.android.dialtacts.common.groups.GROUP_LIST}, mType=0, mUid=10113}
  [52] LegacyPermission{mGids=[0 items], mPermissionInfo=PermissionInfo{67e97c4 com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE}, mType=0, mUid=10245}
  [53] LegacyPermission{mGids=[0 items], mPermissionInfo=PermissionInfo{71c3de2 android.permission.health.WRITE_HEART_RATE}, mType=0, mUid=10292}
  [54] LegacyPermission{mGids=[0 items], mPermissionInfo=PermissionInfo{8af6c30 android.permission.READ_SMS}, mType=0, mUid=1000}
  [55] LegacyPermission{mGids=[0 items], mPermissionInfo=PermissionInfo{144562e android.permission.CONTROL_KEYGUARD}, mType=0, mUid=1000}
  [56] LegacyPermission{mGids=[0 items], mPermissionInfo=PermissionInfo{9d71b5c com.samsung.android.video.player.EXPORTED_ACTIVITY}, mType=0, mUid=10119}
  [57] LegacyPermission{mGids=[0 items], mPermissionInfo=PermissionInfo{bc3a73a android.permission.BIND_GAME_SERVICE}, mType=0, mUid=1000}
  [58] LegacyPermission{mGids=[0 items], mPermissionInfo=PermissionInfo{689148 android.permission.MANAGE_CAMERA}, mType=0, mUid=1000}
  [59] LegacyPermission{mGids=[0 items], mPermissionInfo=PermissionInfo{5b4fd06 com.samsung.android.permission.SEM_VOLD_DATA_MOVE}, mType=0, mUid=1000}
  [60] LegacyPermission{mGids=[0 items], mPermissionInfo=PermissionInfo{51979f4 android.permission.ACCESS_ADSERVICES_TOPICS}, mType=0, mUid=10277}
  [61] LegacyPermission{mGids=[0 items], mPermissionInfo=PermissionInfo{313e392 com.samsung.android.voicewakeup.permission.READ_SETTING_PROVIDER}, mType=0, mUid=1000}
  [62] LegacyPermission{mGids=[0 items], mPermissionInfo=PermissionInfo{44e4160 android.permission.READ_WALLPAPER_INTERNAL}, mType=0, mUid=1000}
  [63] LegacyPermission{mGids=[0 items], mPermissionInfo=PermissionInfo{a08a6de com.samsung.android.bixby.ondevice.dm.USE_ACTION}, mType=0, mUid=10320}
  [64] LegacyPermission{mGids=[0 items], mPermissionInfo=PermissionInfo{a46138c android.permission.MANAGE_CRATES}, mType=0, mUid=1000}
  [65] LegacyPermission{mGids=[0 items], mPermissionInfo=PermissionInfo{8f452ea com.samsung.android.scloud.gallery.permission.WRITE}, mType=0, mUid=5009}
  [66] LegacyPermission{mGids=[0 items], mPermissionInfo=PermissionInfo{606dc78 android.permission.MANAGE_DEVICE_POLICY_SCREEN_CAPTURE}, mType=0, mUid=1000}
  [67] LegacyPermission{mGids=[0 items], mPermissionInfo=PermissionInfo{13cb3b6 com.samsung.android.sdm.config.permission.ALARM_RECEIVED}, mType=0, mUid=10101}
  [68] LegacyPermission{mGids=[0 items], mPermissionInfo=PermissionInfo{f094824 com.samsung.security.fabric.crypto.permission.KNOX_MATRIX}, mType=0, mUid=1000}
  [69] LegacyPermission{mGids=[0 items], mPermissionInfo=PermissionInfo{2d85542 android.permission.health.WRITE_SYMPTOM_EARACHES}, mType=0, mUid=10292}
  [70] LegacyPermission{mGids=[0 items], mPermissionInfo=PermissionInfo{9a4c290 com.google.android.tts.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION}, mType=0, mUid=10252}
  [71] LegacyPermission{mGids=[0 items], mPermissionInfo=PermissionInfo{49a838e android.permission.ACCESS_FPS_COUNTER}, mType=0, mUid=1000}
  [72] LegacyPermission{mGids=[0 items], mPermissionInfo=PermissionInfo{63b77bc com.samsung.android.mobileservice.social.common.provider.opensession.permission.READ}, mType=0, mUid=10112}
  [73] LegacyPermission{mGids=[0 items], mPermissionInfo=PermissionInfo{53f4a9a com.verizon.mcptt.API_ACCESS}, mType=0, mUid=1000}
  [74] LegacyPermission{mGids=[0 items], mPermissionInfo=PermissionInfo{72653a8 com.samsung.android.mobileservice.social.ui.Permission.PROFILE_PICTURE_SHARE}, mType=0, mUid=10112}
  [75] LegacyPermission{mGids=[0 items], mPermissionInfo=PermissionInfo{1377666 com.samsung.android.app.sharelive.SOCIAL_UPDATE_READ_CONTENTS}, mType=0, mUid=5026}
  [76] LegacyPermission{mGids=[0 items], mPermissionInfo=PermissionInfo{9610254 com.sec.android.app.sbrowser.permission.SILENT_INSTALL_COMPLETE}, mType=0, mUid=10210}
  [77] LegacyPermission{mGids=[0 items], mPermissionInfo=PermissionInfo{93492f2 com.android.providers.media.permission.UPDATE_OEM_METADATA}, mType=0, mUid=10285}
  [78] LegacyPermission{mGids=[0 items], mPermissionInfo=PermissionInfo{bf5efc0 com.sec.imsservice.QUANTUM_ENCRYPTION}, mType=0, mUid=1000}
  [79] LegacyPermission{mGids=[0 items], mPermissionInfo=PermissionInfo{574ec3e com.samsung.android.knox.permission.KNOX_ADVANCED_SECURITY}, mType=0, mUid=1000}
